frame,read,detect,crop,infer,e2e_ms,output
127,0.9216,8.0074,0.5704,2.2707,11.7701,0.412419
128,0.9662,7.891,0.5691,2.2763,11.7026,0.446792
129,0.934,7.6504,0.5701,2.2331,11.3875,0.433656
130,0.9354,7.8233,0.5615,2.2645,11.5846,0.421448
131,0.9148,7.8153,0.572,2.236,11.5381,0.415865
132,0.977,7.7885,0.5717,2.2252,11.5623,0.300401
133,0.9768,7.8212,0.5529,2.2362,11.5871,0.405525
134,0.9651,7.7471,0.5921,2.235,11.5395,0.29045
135,0.9181,7.778,0.5624,2.2611,11.5195,0.468992
136,0.9602,7.8202,0.562,2.2492,11.5916,0.471185
137,0.9531,7.7223,0.5675,2.2345,11.4774,0.547785
138,0.9416,7.7915,0.5687,2.2691,11.571,0.64931
139,0.9253,7.7319,0.5598,2.2521,11.4691,0.692892
140,0.9444,7.8975,0.564,2.2868,11.6926,0.753796
141,0.9427,7.925,0.5563,2.2372,11.6612,0.789514
142,0.9339,7.7828,0.5504,2.2298,11.4968,0.768187
143,0.9744,7.7582,0.5526,2.2508,11.536,0.746701
144,1.0015,7.8306,0.5663,2.2288,11.6271,0.760308
145,0.9336,7.8492,0.5945,2.2391,11.6164,0.227018
146,0.9369,7.7188,0.5617,2.2391,11.4565,0.443463
147,0.9148,8.0949,0.5835,2.2633,11.8565,0.443299
148,0.9545,7.9292,0.5504,2.2465,11.6807,0.583815
149,0.9395,7.6402,0.5557,2.2388,11.3742,0.594282
150,0.9441,7.7295,0.5604,2.2685,11.5025,0.451962
151,0.912,7.7021,0.5485,2.255,11.4175,0.257294
152,0.9597,7.7812,0.5659,2.2247,11.5315,0.314142
153,0.9894,7.6688,0.5661,2.2358,11.4602,0.397436
154,1.0146,8.1275,0.5658,2.2404,11.9484,0.265377
155,0.9732,7.7129,0.5931,2.2301,11.5093,0.184622
156,0.9651,7.8649,0.5842,2.2293,11.6435,0.17155
157,0.934,7.6954,0.56,2.2528,11.4422,0.177887
158,0.9443,7.743,0.5643,2.2551,11.5066,0.159034
159,0.9316,7.7483,0.5707,2.2727,11.5233,0.21878
160,0.9485,7.8194,0.577,2.2948,11.6396,0.152374
161,0.9458,7.7762,0.5649,2.2438,11.5307,0.154147
162,0.9395,7.8169,0.5672,2.2676,11.5912,0.07646
163,0.9178,7.7148,0.5719,2.2308,11.4354,0.205881
164,0.994,7.7509,0.5664,2.2302,11.5415,0.18332
