frame,read,detect,crop,infer,e2e_ms,output
127,0.8915,8.0449,4.4472,2.3437,15.7272,0.404759
128,0.9701,7.8939,4.4367,2.3086,15.6093,0.446333
129,1.0039,7.7214,4.4527,2.494,15.6721,0.430327
130,1.2091,8.0691,4.3906,2.309,15.9778,0.420938
131,0.9535,7.8227,4.4681,2.3294,15.5737,0.414805
132,1.0182,7.9962,4.4564,2.3009,15.7716,0.29915
133,1.0008,7.8849,4.4079,2.3198,15.6133,0.405777
134,0.9497,7.8334,4.5281,2.3121,15.6233,0.290361
135,0.8924,7.808,4.5136,2.337,15.5511,0.469355
136,0.9565,7.8867,4.3887,2.3218,15.5536,0.473071
137,0.9665,7.8482,4.4616,2.3523,15.6286,0.54706
138,0.9782,7.7865,4.3638,2.3506,15.4791,0.652177
139,0.9208,7.7796,4.4527,2.3598,15.5129,0.692159
140,0.9744,8.0345,4.3693,2.3411,15.7193,0.755133
141,0.9567,7.7999,4.4554,2.3183,15.5305,0.791174
142,1.001,7.8602,4.3688,2.3199,15.5498,0.768801
143,0.9435,7.7681,4.4056,2.3226,15.4399,0.747783
144,0.9708,7.9744,4.5361,2.3108,15.792,0.76024
145,0.9557,7.7835,4.458,2.3319,15.5291,0.227616
146,0.9725,7.8573,4.3986,2.3438,15.5722,0.440284
147,0.9144,7.8242,4.435,2.3353,15.5089,0.444406
148,0.9505,8.0742,4.4329,2.3463,15.8039,0.582639
149,0.9635,7.7897,4.4484,2.3507,15.5523,0.591415
150,0.9785,7.8655,4.3789,2.3442,15.5671,0.453292
151,0.9018,7.7667,4.434,2.3376,15.4402,0.255766
152,0.9353,7.9605,4.434,2.3086,15.6384,0.309039
153,0.9804,7.8277,4.3957,2.292,15.496,0.400602
154,0.9792,8.1362,4.3989,2.3013,15.8156,0.265343
155,0.9508,7.6959,4.4129,2.3118,15.3714,0.186463
156,0.9817,7.8862,4.4404,2.3295,15.6378,0.171826
157,0.9582,7.7824,4.4896,2.3202,15.5504,0.177262
158,0.9734,7.802,4.3784,2.3616,15.5154,0.159181
159,0.9215,7.7853,4.4137,2.3423,15.4628,0.216804
160,0.9629,7.9164,4.447,2.3444,15.6706,0.151815
161,0.9396,7.7558,4.5143,2.3515,15.5611,0.154599
162,0.9754,7.8401,4.3773,2.3218,15.5146,0.076856
163,0.944,7.8117,4.4951,2.3134,15.5641,0.204571
164,0.9761,7.9231,4.4882,2.324,15.7114,0.182242
165,1.0253,7.7852,4.3984,2.3107,15.5196,0.217806
166,0.9588,7.9059,4.4629,2.3139,15.6414,0.201528
167,0.8969,7.7761,4.4026,2.325,15.4006,0.158794
168,0.9727,7.961,4.4479,2.3497,15.7313,0.233647
169,0.9514,7.818,4.4522,2.3299,15.5515,0.221978
170,0.9772,7.854,4.4445,2.351,15.6267,0.125973
171,0.9239,7.8668,4.4751,2.3268,15.5926,0.202509
172,0.9737,7.8385,4.488,2.3523,15.6525,0.146658
173,0.9656,7.8175,4.421,2.2995,15.5036,0.154185
174,0.9844,7.9301,4.4566,2.322,15.693,0.054462
175,0.9303,7.8191,4.4865,2.3039,15.5398,0.078303
176,1.0234,7.8455,4.4924,2.3024,15.6638,0.07446
177,0.9794,7.6997,4.4037,2.315,15.3978,0.069823
